"filename", "language", "JSON with Comments", "XML", "C#", "comment", "blank", "total"
"/home/mahadeva/code/NetworkMonitorProcessor/NetworkMonitorProcessor.code-workspace", "JSON with Comments", 11, 0, 0, 0, 0, 11
"/home/mahadeva/code/NetworkMonitorProcessor/NetworkMonitorProcessorApp.csproj", "XML", 0, 37, 0, 0, 9, 46
"/home/mahadeva/code/NetworkMonitorProcessor/Program.cs", "C#", 0, 0, 34, 0, 4, 38
"/home/mahadeva/code/NetworkMonitorProcessor/Services/IMonitorPingProcessor.cs", "C#", 0, 0, 21, 0, 0, 21
"/home/mahadeva/code/NetworkMonitorProcessor/Services/MonitorPingCollection.cs", "C#", 0, 0, 330, 13, 19, 362
"/home/mahadeva/code/NetworkMonitorProcessor/Services/MonitorPingProcessor.cs", "C#", 0, 0, 508, 54, 1, 563
"/home/mahadeva/code/NetworkMonitorProcessor/Services/PublishRepo.cs", "C#", 0, 0, 151, 26, 4, 181
"/home/mahadeva/code/NetworkMonitorProcessor/Services/RabbitListener.cs", "C#", 0, 0, 398, 0, 0, 398
"/home/mahadeva/code/NetworkMonitorProcessor/Services/StateSetup.cs", "C#", 0, 0, 170, 1, 17, 188
"/home/mahadeva/code/NetworkMonitorProcessor/Tests/Connection/DNSConnectTest.cs", "C#", 0, 0, 77, 9, 4, 90
"/home/mahadeva/code/NetworkMonitorProcessor/Tests/Connection/QuantumConnectTest.cs", "C#", 0, 0, 67, 6, 13, 86
"/home/mahadeva/code/NetworkMonitorProcessor/Tests/Connection/STMPConnectTest.cs", "C#", 0, 0, 73, 9, 1, 83
"Total", "-", 11, 37, 1829, 118, 72, 2067
